milk,country,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
4,50,21,0,210,11,11,348,207,0,0
4,30,48,0,38,5,15,258,62,1,0
4,30,48,0,48,6,8,210,285,1,0
4,30,48,0,93,6,8,210,285,1,0
4,30,34,0,180,5,11,384,178,1,0
4,33,39,0,210,11,11,15,127,1,0
4,77,47,0,96,9,15,495,294,0,0
4,14,21,0,94,7,11,495,304,0,0
4,33,21,0,129,7,15,130,102,1,0
13,77,48,0,101,9,15,555,78,1,0
4,77,18,0,176,9,15,258,150,1,0
4,30,39,0,266,7,11,210,191,1,0
4,57,33,0,279,9,11,554,304,0,0
4,77,56,0,103,3,11,123,15,0,0
4,52,39,0,11,9,8,557,236,0,0
4,30,20,0,180,8,11,0,217,0,0
4,61,20,0,279,11,3,177,63,1,0
4,37,38,0,219,4,11,175,285,0,0
5,77,34,0,93,7,8,357,158,1,0
13,77,48,0,93,10,8,470,175,1,0
13,77,48,0,93,7,8,470,175,1,0
4,35,39,0,137,7,14,564,0,0,0
13,68,21,0,210,7,11,420,181,1,0
4,46,61,0,147,10,16,510,37,0,0
4,74,48,0,93,7,11,596,285,1,0
4,74,62,0,189,7,11,557,127,1,0
4,30,20,0,35,7,13,39,55,0,0
4,77,39,0,129,7,14,471,0,0,0
4,52,31,0,0,7,14,359,0,0,0
13,77,2,0,190,3,8,178,291,1,0
4,50,39,0,196,7,16,249,250,1,0
4,35,62,0,290,11,15,358,285,0,0
14,35,61,0,290,7,15,317,279,0,0
4,72,20,0,67,9,15,596,87,0,0
13,35,62,0,285,7,8,433,228,1,0
4,72,20,0,259,7,16,97,53,0,0
13,14,8,0,250,7,15,596,147,0,0
4,14,61,0,284,10,8,350,127,1,0
6,23,21,0,147,7,6,213,50,1,0
4,55,38,0,238,11,16,472,138,0,0
4,30,20,0,93,9,16,506,87,1,0
13,35,62,0,279,7,15,596,207,0,0
4,77,14,0,5,9,2,393,180,1,0
4,31,48,0,284,10,11,588,279,1,0
13,77,21,0,250,6,11,50,188,0,0
4,78,21,0,259,7,15,163,205,0,0
4,43,21,0,203,7,16,205,225,1,0
4,67,20,0,250,7,11,488,75,1,0
13,30,47,0,125,10,9,596,181,0,0
4,77,38,0,256,9,9,469,250,0,0
4,35,47,0,243,10,11,503,268,0,0
4,18,14,0,93,7,15,281,11,1,0
4,31,48,0,148,10,11,387,34,1,0
4,31,39,0,279,10,11,573,294,1,0
13,77,2,0,261,7,2,274,256,1,0
4,4,21,0,36,3,14,317,191,0,0
4,4,21,0,180,7,11,438,60,1,0
4,4,39,0,191,7,6,455,263,0,0
4,4,21,0,103,11,16,46,285,1,0
4,4,39,0,127,7,16,297,299,1,0
4,4,39,0,259,9,11,242,217,1,0
4,4,21,0,180,7,11,243,127,0,0
4,70,39,0,189,10,11,155,263,0,0
4,30,47,0,46,10,12,396,45,1,0
4,42,39,0,94,7,15,28,127,1,0
4,16,48,0,61,10,8,121,108,0,0
4,4,41,0,214,5,11,239,192,1,0
4,6,39,0,127,7,11,354,128,0,0
13,4,14,0,160,5,15,236,19,1,0
9,69,21,0,93,7,4,531,181,0,0
4,74,27,0,259,9,15,210,285,1,0
4,77,21,0,94,3,8,210,86,0,0
4,27,39,0,129,11,11,598,304,0,0
4,4,21,0,254,7,3,574,295,1,0
4,52,13,0,30,9,15,102,127,0,0
4,33,21,0,180,3,11,592,286,0,0
13,77,15,0,242,7,15,8,127,0,0
4,30,20,0,277,7,8,587,54,1,0
4,57,47,0,250,7,11,133,304,0,0
4,74,38,0,177,10,9,323,0,1,0
4,4,20,0,110,7,16,124,304,1,0
13,77,14,0,160,7,15,21,81,1,0
4,77,38,0,93,10,16,320,285,0,0
9,77,39,0,180,7,11,92,74,1,0
4,35,38,0,250,7,9,60,142,0,0
4,12,48,0,271,9,15,65,0,0,0
4,23,39,0,212,7,15,403,0,1,0
4,27,39,0,250,11,11,552,127,0,0
4,52,33,0,93,7,16,465,31,0,0
4,52,34,0,147,7,11,144,145,0,0
4,74,21,0,93,7,16,359,285,0,0
4,77,21,0,250,7,8,203,191,0,0
4,77,39,0,94,7,11,160,306,1,0
4,50,29,0,197,7,3,508,139,1,0
13,4,21,0,250,7,8,290,307,1,0
4,6,39,0,160,7,11,271,22,1,0
4,6,39,0,68,7,16,218,36,1,0
4,77,48,0,232,10,16,364,72,0,0
4,30,38,0,93,11,7,384,177,1,0
4,30,38,0,93,11,6,572,294,1,0
13,77,13,0,108,9,15,181,141,1,0
4,63,47,0,284,7,16,158,0,1,0
5,77,38,0,95,7,11,13,269,1,0
9,30,21,0,94,7,8,441,304,1,0
4,35,61,0,279,10,4,556,0,0,0
4,14,20,0,199,10,9,115,171,1,0
0,4,19,0,171,9,15,210,249,0,0
4,4,81,0,250,7,15,281,309,0,0
4,4,39,0,60,9,11,471,228,1,0
4,4,13,0,250,9,15,210,156,0,0
13,78,13,0,93,9,15,428,127,1,0
4,6,39,0,93,7,11,574,295,1,0
4,35,39,0,93,7,14,596,127,0,0
14,35,61,0,285,7,8,56,218,0,0
4,35,62,0,279,7,15,584,127,0,0
4,14,20,0,199,10,11,176,304,0,0
4,74,48,0,189,10,16,593,285,0,0
4,6,39,0,93,7,16,297,203,0,0
4,76,47,0,161,2,15,180,262,1,0
13,35,61,0,285,7,6,210,6,1,0
4,35,38,0,93,7,14,147,0,0,0
4,77,38,0,67,7,11,455,128,1,0
13,35,62,0,259,7,15,586,188,1,0
4,77,38,0,147,7,16,463,0,0,0
4,72,20,0,171,9,15,247,33,0,0
4,77,39,0,94,7,11,574,87,1,0
4,30,20,0,71,3,11,24,58,0,0
4,77,21,0,251,11,16,117,288,0,0
5,35,62,0,279,7,15,404,207,1,0
4,4,58,0,248,10,11,565,11,0,0
4,74,28,0,94,7,16,359,288,0,0
4,35,47,0,160,10,11,30,228,0,0
4,9,38,0,153,10,15,554,309,0,0
4,77,21,0,104,7,16,498,193,1,0
4,71,47,0,93,9,16,547,33,0,0
4,35,39,0,280,7,14,506,191,0,0
4,9,14,0,93,7,15,81,152,0,0
4,77,21,0,127,7,11,89,171,1,0
4,52,39,0,250,9,11,598,268,1,0
13,77,13,0,166,9,15,224,0,1,0
13,77,13,0,108,9,15,315,0,1,0
5,18,40,0,94,6,11,381,285,0,0
